latitude,longitude,updated_type,updated_subtype,alert count
41.64,-87.62,Hazard,On Road,14
41.64,-87.59,Accident,Major,1
41.64,-87.59,Accident,Unclassified,4
41.64,-87.59,Hazard,On Road,24
41.64,-87.59,Hazard,On Shoulder,89
41.64,-87.59,Hazard,Weather,2
41.64,-87.59,Jam,Heavy Traffic,15
41.64,-87.59,Jam,Stand Still Traffic,5
41.64,-87.59,Jam,Unclassified,2
41.64,-87.58,Accident,Major,2
41.64,-87.58,Accident,Unclassified,6
41.64,-87.58,Hazard,On Road,47
41.64,-87.58,Hazard,On Shoulder,202
41.64,-87.58,Hazard,Unclassified,1
41.64,-87.58,Hazard,Weather,3
41.64,-87.58,Jam,Heavy Traffic,10
41.64,-87.58,Jam,Stand Still Traffic,8
41.64,-87.58,Jam,Unclassified,11
41.64,-87.56,Accident,Major,1
41.64,-87.56,Hazard,On Road,11
41.64,-87.56,Hazard,On Shoulder,3
41.64,-87.56,Hazard,Weather,4
41.64,-87.56,Jam,Stand Still Traffic,1
41.64,-87.56,Jam,Unclassified,1
41.65,-87.65,Hazard,On Road,11
41.65,-87.65,Hazard,On Shoulder,2
41.65,-87.65,Hazard,Weather,2
41.65,-87.65,Jam,Heavy Traffic,1
41.65,-87.64,Hazard,On Road,1
41.65,-87.62,Accident,Minor,1
41.65,-87.62,Accident,Unclassified,6
41.65,-87.62,Hazard,On Road,49
41.65,-87.62,Hazard,On Shoulder,17
41.65,-87.62,Hazard,Weather,3
41.65,-87.62,Jam,Heavy Traffic,10
41.65,-87.62,Jam,Stand Still Traffic,17
41.65,-87.62,Jam,Unclassified,7
41.65,-87.62,Road Closed,Unclassified,1
41.65,-87.61,Accident,Unclassified,4
41.65,-87.61,Hazard,On Road,35
41.65,-87.61,Hazard,On Shoulder,19
41.65,-87.61,Hazard,Unclassified,1
41.65,-87.61,Hazard,Weather,7
41.65,-87.61,Jam,Stand Still Traffic,1
41.65,-87.61,Jam,Unclassified,6
41.65,-87.6,Accident,Major,2
41.65,-87.6,Accident,Unclassified,3
41.65,-87.6,Hazard,On Road,33
41.65,-87.6,Hazard,On Shoulder,54
41.65,-87.6,Jam,Unclassified,6
41.65,-87.59,Accident,Major,51
41.65,-87.59,Accident,Minor,17
41.65,-87.59,Accident,Unclassified,103
41.65,-87.59,Hazard,On Road,691
41.65,-87.59,Hazard,On Shoulder,2993
41.65,-87.59,Hazard,Unclassified,10
41.65,-87.59,Hazard,Weather,176
41.65,-87.59,Jam,Heavy Traffic,288
41.65,-87.59,Jam,Moderate Traffic,14
41.65,-87.59,Jam,Stand Still Traffic,132
41.65,-87.59,Jam,Unclassified,142
41.65,-87.59,Road Closed,Event,3
41.65,-87.59,Road Closed,Unclassified,4
41.65,-87.58,Accident,Major,3
41.65,-87.58,Accident,Minor,3
41.65,-87.58,Accident,Unclassified,12
41.65,-87.58,Hazard,On Road,182
41.65,-87.58,Hazard,On Shoulder,69
41.65,-87.58,Hazard,Unclassified,3
41.65,-87.58,Hazard,Weather,11
41.65,-87.58,Jam,Heavy Traffic,46
41.65,-87.58,Jam,Moderate Traffic,2
41.65,-87.58,Jam,Stand Still Traffic,21
41.65,-87.58,Jam,Unclassified,11
41.65,-87.57,Accident,Major,2
41.65,-87.57,Accident,Minor,4
41.65,-87.57,Accident,Unclassified,11
41.65,-87.57,Hazard,On Road,59
41.65,-87.57,Hazard,On Shoulder,36
41.65,-87.57,Hazard,Unclassified,2
41.65,-87.57,Hazard,Weather,10
41.65,-87.57,Jam,Heavy Traffic,27
41.65,-87.57,Jam,Moderate Traffic,1
41.65,-87.57,Jam,Stand Still Traffic,23
41.65,-87.57,Jam,Unclassified,15
41.65,-87.56,Accident,Major,1
41.65,-87.56,Accident,Minor,4
41.65,-87.56,Accident,Unclassified,5
41.65,-87.56,Hazard,On Road,20
41.65,-87.56,Hazard,On Shoulder,25
41.65,-87.56,Hazard,Weather,4
41.65,-87.56,Jam,Heavy Traffic,2
41.65,-87.56,Jam,Stand Still Traffic,2
41.65,-87.56,Jam,Unclassified,4
41.66,-87.65,Accident,Unclassified,5
41.66,-87.65,Hazard,On Road,51
41.66,-87.65,Hazard,On Shoulder,3
41.66,-87.65,Hazard,Unclassified,1
41.66,-87.65,Hazard,Weather,4
41.66,-87.65,Jam,Heavy Traffic,5
41.66,-87.65,Jam,Stand Still Traffic,5
41.66,-87.65,Jam,Unclassified,7
41.66,-87.64,Accident,Unclassified,2
41.66,-87.64,Hazard,On Road,27
41.66,-87.64,Hazard,On Shoulder,5
41.66,-87.64,Hazard,Weather,2
41.66,-87.64,Jam,Heavy Traffic,2
41.66,-87.64,Jam,Unclassified,8
41.66,-87.64,Road Closed,Unclassified,1
41.66,-87.63,Accident,Unclassified,5
41.66,-87.63,Hazard,On Road,30
41.66,-87.63,Hazard,On Shoulder,6
41.66,-87.63,Hazard,Weather,4
41.66,-87.63,Jam,Heavy Traffic,4
41.66,-87.63,Jam,Unclassified,2
41.66,-87.63,Road Closed,Unclassified,1
41.66,-87.62,Hazard,On Road,16
41.66,-87.62,Hazard,On Shoulder,2
41.66,-87.62,Jam,Heavy Traffic,5
41.66,-87.62,Jam,Stand Still Traffic,4
41.66,-87.62,Jam,Unclassified,1
41.66,-87.61,Hazard,On Road,1
41.66,-87.6,Accident,Major,73
41.66,-87.6,Accident,Minor,12
41.66,-87.6,Accident,Unclassified,88
41.66,-87.6,Hazard,On Road,472
41.66,-87.6,Hazard,On Shoulder,2095
41.66,-87.6,Hazard,Unclassified,14
41.66,-87.6,Hazard,Weather,113
41.66,-87.6,Jam,Heavy Traffic,238
41.66,-87.6,Jam,Moderate Traffic,12
41.66,-87.6,Jam,Stand Still Traffic,104
41.66,-87.6,Jam,Unclassified,87
41.66,-87.6,Road Closed,Event,1
41.66,-87.6,Road Closed,Unclassified,1
41.66,-87.59,Accident,Major,11
41.66,-87.59,Accident,Minor,1
41.66,-87.59,Accident,Unclassified,20
41.66,-87.59,Hazard,On Road,119
41.66,-87.59,Hazard,On Shoulder,462
41.66,-87.59,Hazard,Unclassified,5
41.66,-87.59,Hazard,Weather,28
41.66,-87.59,Jam,Heavy Traffic,59
41.66,-87.59,Jam,Stand Still Traffic,44
41.66,-87.59,Jam,Unclassified,20
41.66,-87.59,Road Closed,Event,2
41.66,-87.59,Road Closed,Unclassified,2
41.66,-87.57,Accident,Unclassified,1
41.66,-87.57,Hazard,On Road,3
41.66,-87.56,Accident,Unclassified,1
41.66,-87.56,Hazard,On Road,28
41.66,-87.56,Hazard,On Shoulder,17
41.66,-87.56,Hazard,Weather,6
41.66,-87.56,Jam,Heavy Traffic,3
41.66,-87.56,Jam,Stand Still Traffic,10
41.66,-87.56,Jam,Unclassified,4
41.67,-87.72,Hazard,On Road,1
41.67,-87.69,Hazard,On Road,12
41.67,-87.69,Jam,Stand Still Traffic,1
41.67,-87.68,Hazard,On Road,22
41.67,-87.68,Hazard,On Shoulder,1
41.67,-87.68,Jam,Heavy Traffic,1
41.67,-87.68,Jam,Stand Still Traffic,1
41.67,-87.68,Jam,Unclassified,1
41.67,-87.67,Accident,Unclassified,1
41.67,-87.67,Hazard,On Road,11
41.67,-87.67,Hazard,On Shoulder,3
41.67,-87.67,Hazard,Weather,2
41.67,-87.67,Jam,Heavy Traffic,1
41.67,-87.67,Jam,Stand Still Traffic,4
41.67,-87.67,Jam,Unclassified,1
41.67,-87.67,Road Closed,Unclassified,2
41.67,-87.66,Hazard,On Road,3
41.67,-87.66,Hazard,Weather,2
41.67,-87.66,Jam,Unclassified,1
41.67,-87.65,Accident,Minor,2
41.67,-87.65,Accident,Unclassified,3
41.67,-87.65,Hazard,On Road,31
41.67,-87.65,Hazard,On Shoulder,3
41.67,-87.65,Hazard,Unclassified,3
41.67,-87.65,Hazard,Weather,1
41.67,-87.65,Jam,Heavy Traffic,2
41.67,-87.65,Jam,Stand Still Traffic,1
41.67,-87.65,Jam,Unclassified,7
41.67,-87.64,Hazard,On Road,6
41.67,-87.64,Hazard,Weather,3
41.67,-87.63,Hazard,On Road,11
41.67,-87.63,Hazard,Weather,2
41.67,-87.63,Jam,Unclassified,2
41.67,-87.63,Road Closed,Unclassified,1
41.67,-87.62,Hazard,On Road,4
41.67,-87.61,Accident,Major,17
41.67,-87.61,Accident,Minor,6
41.67,-87.61,Accident,Unclassified,37
41.67,-87.61,Hazard,On Road,218
41.67,-87.61,Hazard,On Shoulder,1242
41.67,-87.61,Hazard,Unclassified,8
41.67,-87.61,Hazard,Weather,13
41.67,-87.61,Jam,Heavy Traffic,202
41.67,-87.61,Jam,Moderate Traffic,4
41.67,-87.61,Jam,Stand Still Traffic,63
41.67,-87.61,Jam,Unclassified,70
41.67,-87.61,Road Closed,Construction,1
41.67,-87.61,Road Closed,Event,1
41.67,-87.61,Road Closed,Unclassified,15
41.67,-87.6,Accident,Major,7
41.67,-87.6,Accident,Minor,2
41.67,-87.6,Accident,Unclassified,23
41.67,-87.6,Hazard,On Road,108
41.67,-87.6,Hazard,On Shoulder,682
41.67,-87.6,Hazard,Unclassified,1
41.67,-87.6,Hazard,Weather,12
41.67,-87.6,Jam,Heavy Traffic,75
41.67,-87.6,Jam,Moderate Traffic,4
41.67,-87.6,Jam,Stand Still Traffic,30
41.67,-87.6,Jam,Unclassified,27
41.67,-87.59,Hazard,On Road,1
41.67,-87.58,Hazard,On Road,10
41.67,-87.58,Hazard,On Shoulder,5
41.67,-87.58,Road Closed,Construction,1
41.67,-87.57,Hazard,On Road,4
41.67,-87.57,Hazard,On Shoulder,3
41.67,-87.57,Jam,Stand Still Traffic,10
41.67,-87.56,Accident,Unclassified,1
41.67,-87.56,Hazard,On Road,14
41.67,-87.56,Hazard,On Shoulder,14
41.67,-87.56,Jam,Heavy Traffic,1
41.67,-87.56,Jam,Stand Still Traffic,11
41.67,-87.56,Jam,Unclassified,1
41.67,-87.56,Road Closed,Event,1
41.68,-87.73,Hazard,On Road,10
41.68,-87.73,Hazard,Unclassified,2
41.68,-87.73,Jam,Unclassified,1
41.68,-87.72,Accident,Minor,1
41.68,-87.72,Accident,Unclassified,3
41.68,-87.72,Hazard,On Road,21
41.68,-87.72,Hazard,Unclassified,6
41.68,-87.72,Hazard,Weather,1
41.68,-87.72,Jam,Heavy Traffic,2
41.68,-87.72,Jam,Stand Still Traffic,1
41.68,-87.72,Jam,Unclassified,3
41.68,-87.71,Accident,Unclassified,3
41.68,-87.71,Hazard,On Road,14
41.68,-87.71,Jam,Heavy Traffic,1
41.68,-87.71,Jam,Unclassified,4
41.68,-87.7,Hazard,On Road,1
41.68,-87.7,Jam,Unclassified,2
41.68,-87.69,Accident,Unclassified,1
41.68,-87.69,Hazard,On Road,29
41.68,-87.69,Hazard,Unclassified,1
41.68,-87.69,Hazard,Weather,6
41.68,-87.69,Jam,Heavy Traffic,1
41.68,-87.69,Jam,Unclassified,3
41.68,-87.69,Road Closed,Event,26
41.68,-87.68,Accident,Unclassified,1
41.68,-87.68,Hazard,On Road,20
41.68,-87.68,Hazard,Weather,3
41.68,-87.68,Jam,Heavy Traffic,2
41.68,-87.68,Jam,Unclassified,3
41.68,-87.67,Accident,Major,8
41.68,-87.67,Accident,Minor,1
41.68,-87.67,Accident,Unclassified,15
41.68,-87.67,Hazard,On Road,104
41.68,-87.67,Hazard,On Shoulder,79
41.68,-87.67,Hazard,Unclassified,1
41.68,-87.67,Hazard,Weather,9
41.68,-87.67,Jam,Heavy Traffic,18
41.68,-87.67,Jam,Stand Still Traffic,22
41.68,-87.67,Jam,Unclassified,21
41.68,-87.67,Road Closed,Event,2
41.68,-87.67,Road Closed,Unclassified,11
41.68,-87.66,Accident,Unclassified,1
41.68,-87.66,Hazard,On Road,16
41.68,-87.66,Hazard,On Shoulder,2
41.68,-87.66,Hazard,Weather,3
41.68,-87.66,Jam,Heavy Traffic,1
41.68,-87.66,Jam,Unclassified,7
41.68,-87.66,Road Closed,Unclassified,5
41.68,-87.65,Accident,Unclassified,2
41.68,-87.65,Hazard,On Road,13
41.68,-87.65,Hazard,On Shoulder,2
41.68,-87.65,Hazard,Weather,1
41.68,-87.65,Jam,Heavy Traffic,8
41.68,-87.65,Jam,Stand Still Traffic,2
41.68,-87.65,Jam,Unclassified,7
41.68,-87.65,Road Closed,Unclassified,3
41.68,-87.64,Accident,Unclassified,3
41.68,-87.64,Hazard,On Road,14
41.68,-87.64,Hazard,Weather,2
41.68,-87.64,Jam,Stand Still Traffic,1
41.68,-87.64,Jam,Unclassified,1
41.68,-87.63,Accident,Minor,1
41.68,-87.63,Accident,Unclassified,5
41.68,-87.63,Hazard,On Road,33
41.68,-87.63,Hazard,Weather,2
41.68,-87.63,Jam,Heavy Traffic,2
41.68,-87.63,Jam,Stand Still Traffic,1
41.68,-87.63,Jam,Unclassified,6
41.68,-87.63,Road Closed,Unclassified,2
41.68,-87.62,Accident,Unclassified,2
41.68,-87.62,Hazard,On Road,19
41.68,-87.62,Hazard,On Shoulder,1
41.68,-87.62,Hazard,Weather,2
41.68,-87.62,Jam,Stand Still Traffic,1
41.68,-87.62,Jam,Unclassified,5
41.68,-87.62,Road Closed,Unclassified,1
41.68,-87.61,Accident,Major,38
41.68,-87.61,Accident,Minor,9
41.68,-87.61,Accident,Unclassified,103
41.68,-87.61,Hazard,On Road,457
41.68,-87.61,Hazard,On Shoulder,1541
41.68,-87.61,Hazard,Unclassified,16
41.68,-87.61,Hazard,Weather,60
41.68,-87.61,Jam,Heavy Traffic,469
41.68,-87.61,Jam,Moderate Traffic,12
41.68,-87.61,Jam,Stand Still Traffic,285
41.68,-87.61,Jam,Unclassified,143
41.68,-87.61,Road Closed,Event,4
41.68,-87.61,Road Closed,Unclassified,7
41.68,-87.6,Accident,Major,7
41.68,-87.6,Accident,Unclassified,11
41.68,-87.6,Hazard,On Road,57
41.68,-87.6,Hazard,On Shoulder,184
41.68,-87.6,Hazard,Unclassified,1
41.68,-87.6,Hazard,Weather,3
41.68,-87.6,Jam,Heavy Traffic,54
41.68,-87.6,Jam,Stand Still Traffic,46
41.68,-87.6,Jam,Unclassified,15
41.68,-87.58,Hazard,On Shoulder,9
41.68,-87.56,Accident,Major,1
41.68,-87.56,Accident,Unclassified,1
41.68,-87.56,Hazard,On Road,12
41.68,-87.56,Hazard,On Shoulder,7
41.68,-87.56,Hazard,Weather,1
41.69,-87.73,Accident,Unclassified,4
41.69,-87.73,Hazard,On Road,7
41.69,-87.73,Hazard,Unclassified,2
41.69,-87.72,Accident,Unclassified,4
41.69,-87.72,Hazard,On Road,24
41.69,-87.72,Hazard,On Shoulder,3
41.69,-87.72,Hazard,Unclassified,5
41.69,-87.72,Hazard,Weather,1
41.69,-87.72,Jam,Heavy Traffic,4
41.69,-87.72,Jam,Stand Still Traffic,5
41.69,-87.72,Jam,Unclassified,9
41.69,-87.71,Accident,Minor,1
41.69,-87.71,Accident,Unclassified,3
41.69,-87.71,Hazard,On Road,11
41.69,-87.71,Hazard,On Shoulder,3
41.69,-87.71,Hazard,Unclassified,4
41.69,-87.71,Hazard,Weather,1
41.69,-87.71,Jam,Heavy Traffic,13
41.69,-87.71,Jam,Stand Still Traffic,9
41.69,-87.71,Jam,Unclassified,8
41.69,-87.7,Hazard,On Road,38
41.69,-87.7,Hazard,On Shoulder,3
41.69,-87.7,Hazard,Weather,1
41.69,-87.7,Jam,Heavy Traffic,21
41.69,-87.7,Jam,Moderate Traffic,2
41.69,-87.7,Jam,Stand Still Traffic,46
41.69,-87.7,Jam,Unclassified,14
41.69,-87.69,Accident,Minor,2
41.69,-87.69,Accident,Unclassified,9
41.69,-87.69,Hazard,On Road,31
41.69,-87.69,Hazard,On Shoulder,2
41.69,-87.69,Hazard,Weather,4
41.69,-87.69,Jam,Heavy Traffic,11
41.69,-87.69,Jam,Stand Still Traffic,10
41.69,-87.69,Jam,Unclassified,17
41.69,-87.69,Road Closed,Event,52
41.69,-87.69,Road Closed,Unclassified,1
41.69,-87.68,Accident,Major,1
41.69,-87.68,Accident,Unclassified,4
41.69,-87.68,Hazard,On Road,123
41.69,-87.68,Hazard,On Shoulder,9
41.69,-87.68,Hazard,Weather,2
41.69,-87.68,Jam,Heavy Traffic,7
41.69,-87.68,Jam,Stand Still Traffic,6
41.69,-87.68,Jam,Unclassified,10
41.69,-87.68,Road Closed,Unclassified,1
41.69,-87.67,Accident,Major,6
41.69,-87.67,Accident,Minor,1
41.69,-87.67,Accident,Unclassified,5
41.69,-87.67,Hazard,On Road,98
41.69,-87.67,Hazard,On Shoulder,93
41.69,-87.67,Hazard,Unclassified,1
41.69,-87.67,Hazard,Weather,4
41.69,-87.67,Jam,Heavy Traffic,26
41.69,-87.67,Jam,Moderate Traffic,1
41.69,-87.67,Jam,Stand Still Traffic,18
41.69,-87.67,Jam,Unclassified,16
41.69,-87.67,Road Closed,Unclassified,4
41.69,-87.66,Accident,Major,11
41.69,-87.66,Accident,Unclassified,11
41.69,-87.66,Hazard,On Road,58
41.69,-87.66,Hazard,On Shoulder,84
41.69,-87.66,Hazard,Weather,3
41.69,-87.66,Jam,Heavy Traffic,21
41.69,-87.66,Jam,Moderate Traffic,1
41.69,-87.66,Jam,Stand Still Traffic,27
41.69,-87.66,Jam,Unclassified,5
41.69,-87.66,Road Closed,Event,2
41.69,-87.66,Road Closed,Unclassified,5
41.69,-87.65,Accident,Unclassified,3
41.69,-87.65,Hazard,On Road,41
41.69,-87.65,Hazard,Weather,1
41.69,-87.65,Jam,Heavy Traffic,2
41.69,-87.65,Jam,Stand Still Traffic,1
41.69,-87.65,Jam,Unclassified,12
41.69,-87.65,Road Closed,Unclassified,6
41.69,-87.64,Accident,Unclassified,1
41.69,-87.64,Hazard,On Road,24
41.69,-87.64,Hazard,On Shoulder,4
41.69,-87.64,Jam,Stand Still Traffic,1
41.69,-87.64,Jam,Unclassified,6
41.69,-87.64,Road Closed,Unclassified,2
41.69,-87.63,Accident,Major,1
41.69,-87.63,Accident,Unclassified,3
41.69,-87.63,Hazard,On Road,43
41.69,-87.63,Hazard,On Shoulder,3
41.69,-87.63,Jam,Unclassified,7
41.69,-87.62,Accident,Major,2
41.69,-87.62,Accident,Unclassified,2
41.69,-87.62,Hazard,On Road,5
41.69,-87.62,Hazard,On Shoulder,1
41.69,-87.62,Hazard,Weather,3
41.69,-87.62,Jam,Heavy Traffic,1
41.69,-87.62,Jam,Stand Still Traffic,1
41.69,-87.62,Jam,Unclassified,3
41.69,-87.62,Road Closed,Unclassified,1
41.69,-87.61,Accident,Major,15
41.69,-87.61,Accident,Unclassified,6
41.69,-87.61,Hazard,On Road,75
41.69,-87.61,Hazard,On Shoulder,7
41.69,-87.61,Hazard,Unclassified,3
41.69,-87.61,Hazard,Weather,3
41.69,-87.61,Jam,Heavy Traffic,3
41.69,-87.61,Jam,Stand Still Traffic,2
41.69,-87.61,Jam,Unclassified,10
41.69,-87.6,Accident,Major,65
41.69,-87.6,Accident,Minor,6
41.69,-87.6,Accident,Unclassified,106
41.69,-87.6,Hazard,On Road,642
41.69,-87.6,Hazard,On Shoulder,2090
41.69,-87.6,Hazard,Unclassified,8
41.69,-87.6,Hazard,Weather,61
41.69,-87.6,Jam,Heavy Traffic,712
41.69,-87.6,Jam,Moderate Traffic,15
41.69,-87.6,Jam,Stand Still Traffic,424
41.69,-87.6,Jam,Unclassified,187
41.69,-87.6,Road Closed,Event,4961
41.69,-87.6,Road Closed,Unclassified,5
41.69,-87.59,Hazard,On Road,2
41.69,-87.59,Jam,Stand Still Traffic,1
41.69,-87.59,Jam,Unclassified,1
41.69,-87.58,Accident,Unclassified,1
41.69,-87.58,Hazard,On Shoulder,3
41.69,-87.58,Jam,Stand Still Traffic,1
41.69,-87.57,Hazard,On Road,1
41.69,-87.56,Accident,Unclassified,1
41.69,-87.56,Hazard,On Road,17
41.69,-87.56,Hazard,On Shoulder,4
41.69,-87.56,Hazard,Weather,2
41.69,-87.56,Jam,Unclassified,1
41.7,-87.73,Hazard,On Road,1
41.7,-87.72,Accident,Unclassified,2
41.7,-87.72,Hazard,On Road,3
41.7,-87.72,Hazard,Unclassified,4
41.7,-87.72,Jam,Unclassified,3
41.7,-87.71,Accident,Major,1
41.7,-87.71,Accident,Unclassified,1
41.7,-87.71,Hazard,On Road,1
41.7,-87.71,Jam,Unclassified,5
41.7,-87.7,Accident,Major,1
41.7,-87.7,Hazard,On Road,6
41.7,-87.7,Jam,Heavy Traffic,3
41.7,-87.7,Jam,Stand Still Traffic,1
41.7,-87.7,Jam,Unclassified,4
41.7,-87.69,Accident,Major,1
41.7,-87.69,Accident,Minor,1
41.7,-87.69,Accident,Unclassified,4
41.7,-87.69,Hazard,On Road,40
41.7,-87.69,Hazard,On Shoulder,6
41.7,-87.69,Hazard,Weather,1
41.7,-87.69,Jam,Heavy Traffic,23
41.7,-87.69,Jam,Stand Still Traffic,23
41.7,-87.69,Jam,Unclassified,12
41.7,-87.69,Road Closed,Event,14
41.7,-87.69,Road Closed,Unclassified,4
41.7,-87.68,Accident,Major,1
41.7,-87.68,Accident,Unclassified,3
41.7,-87.68,Hazard,On Road,30
41.7,-87.68,Hazard,On Shoulder,1
41.7,-87.68,Hazard,Weather,4
41.7,-87.68,Jam,Heavy Traffic,11
41.7,-87.68,Jam,Moderate Traffic,2
41.7,-87.68,Jam,Stand Still Traffic,1
41.7,-87.68,Jam,Unclassified,11
41.7,-87.67,Accident,Major,1
41.7,-87.67,Accident,Unclassified,2
41.7,-87.67,Hazard,On Road,41
41.7,-87.67,Hazard,Weather,1
41.7,-87.67,Jam,Heavy Traffic,14
41.7,-87.67,Jam,Moderate Traffic,1
41.7,-87.67,Jam,Stand Still Traffic,5
41.7,-87.67,Jam,Unclassified,5
41.7,-87.67,Road Closed,Unclassified,3
41.7,-87.66,Accident,Major,1
41.7,-87.66,Accident,Unclassified,9
41.7,-87.66,Hazard,On Road,161
41.7,-87.66,Hazard,On Shoulder,4
41.7,-87.66,Hazard,Weather,1
41.7,-87.66,Jam,Heavy Traffic,22
41.7,-87.66,Jam,Stand Still Traffic,8
41.7,-87.66,Jam,Unclassified,12
41.7,-87.65,Accident,Unclassified,9
41.7,-87.65,Hazard,On Road,40
41.7,-87.65,Hazard,On Shoulder,2
41.7,-87.65,Hazard,Weather,4
41.7,-87.65,Jam,Heavy Traffic,3
41.7,-87.65,Jam,Stand Still Traffic,1
41.7,-87.65,Jam,Unclassified,4
41.7,-87.64,Accident,Major,1
41.7,-87.64,Accident,Unclassified,3
41.7,-87.64,Hazard,On Road,7
41.7,-87.64,Jam,Stand Still Traffic,2
41.7,-87.64,Jam,Unclassified,2
41.7,-87.63,Accident,Unclassified,1
41.7,-87.63,Hazard,On Road,24
41.7,-87.63,Hazard,Weather,3
41.7,-87.63,Jam,Heavy Traffic,1
41.7,-87.63,Jam,Unclassified,5
41.7,-87.62,Accident,Unclassified,5
41.7,-87.62,Hazard,On Road,39
41.7,-87.62,Hazard,On Shoulder,1
41.7,-87.62,Hazard,Weather,2
41.7,-87.62,Jam,Unclassified,6
41.7,-87.62,Road Closed,Unclassified,1
41.7,-87.61,Accident,Unclassified,4
41.7,-87.61,Hazard,On Road,67
41.7,-87.61,Hazard,On Shoulder,5
41.7,-87.61,Hazard,Unclassified,1
41.7,-87.61,Hazard,Weather,5
41.7,-87.61,Jam,Heavy Traffic,2
41.7,-87.61,Jam,Stand Still Traffic,4
41.7,-87.61,Jam,Unclassified,6
41.7,-87.61,Road Closed,Event,10
41.7,-87.61,Road Closed,Unclassified,31
41.7,-87.6,Accident,Major,25
41.7,-87.6,Accident,Minor,7
41.7,-87.6,Accident,Unclassified,61
41.7,-87.6,Hazard,On Road,458
41.7,-87.6,Hazard,On Shoulder,1612
41.7,-87.6,Hazard,Unclassified,11
41.7,-87.6,Hazard,Weather,55
41.7,-87.6,Jam,Heavy Traffic,604
41.7,-87.6,Jam,Moderate Traffic,16
41.7,-87.6,Jam,Stand Still Traffic,284
41.7,-87.6,Jam,Unclassified,183
41.7,-87.59,Accident,Major,3
41.7,-87.59,Accident,Minor,2
41.7,-87.59,Accident,Unclassified,15
41.7,-87.59,Hazard,On Road,165
41.7,-87.59,Hazard,On Shoulder,313
41.7,-87.59,Hazard,Unclassified,6
41.7,-87.59,Hazard,Weather,15
41.7,-87.59,Jam,Heavy Traffic,13
41.7,-87.59,Jam,Stand Still Traffic,11
41.7,-87.59,Jam,Unclassified,13
41.7,-87.59,Road Closed,Unclassified,8
41.7,-87.58,Accident,Major,1
41.7,-87.58,Accident,Minor,1
41.7,-87.58,Accident,Unclassified,6
41.7,-87.58,Hazard,On Road,49
41.7,-87.58,Hazard,On Shoulder,14
41.7,-87.58,Hazard,Unclassified,1
41.7,-87.58,Jam,Heavy Traffic,2
41.7,-87.58,Jam,Stand Still Traffic,1
41.7,-87.58,Jam,Unclassified,1
41.7,-87.57,Accident,Unclassified,4
41.7,-87.57,Hazard,On Road,38
41.7,-87.57,Hazard,On Shoulder,15
41.7,-87.57,Hazard,Weather,3
41.7,-87.57,Jam,Heavy Traffic,7
41.7,-87.57,Jam,Stand Still Traffic,2
41.7,-87.57,Jam,Unclassified,4
41.7,-87.56,Accident,Unclassified,3
41.7,-87.56,Hazard,On Road,13
41.7,-87.56,Hazard,On Shoulder,6
41.7,-87.56,Hazard,Weather,1
41.7,-87.56,Jam,Heavy Traffic,16
41.7,-87.56,Jam,Stand Still Traffic,9
41.7,-87.56,Jam,Unclassified,5
41.71,-87.73,Hazard,On Road,1
41.71,-87.7,Hazard,Weather,1
41.71,-87.69,Accident,Unclassified,2
41.71,-87.69,Hazard,On Road,8
41.71,-87.69,Hazard,On Shoulder,1
41.71,-87.69,Hazard,Weather,2
41.71,-87.69,Jam,Heavy Traffic,14
41.71,-87.69,Jam,Unclassified,21
41.71,-87.68,Accident,Unclassified,2
41.71,-87.68,Hazard,On Road,15
41.71,-87.68,Hazard,On Shoulder,2
41.71,-87.68,Hazard,Weather,2
41.71,-87.68,Jam,Heavy Traffic,30
41.71,-87.68,Jam,Stand Still Traffic,10
41.71,-87.68,Jam,Unclassified,40
41.71,-87.67,Accident,Minor,2
41.71,-87.67,Accident,Unclassified,7
41.71,-87.67,Hazard,On Road,67
41.71,-87.67,Hazard,On Shoulder,2
41.71,-87.67,Hazard,Weather,4
41.71,-87.67,Jam,Heavy Traffic,47
41.71,-87.67,Jam,Stand Still Traffic,8
41.71,-87.67,Jam,Unclassified,38
41.71,-87.67,Road Closed,Unclassified,6
41.71,-87.66,Accident,Major,5
41.71,-87.66,Accident,Unclassified,15
41.71,-87.66,Hazard,On Road,63
41.71,-87.66,Hazard,On Shoulder,25
41.71,-87.66,Hazard,Unclassified,1
41.71,-87.66,Hazard,Weather,7
41.71,-87.66,Jam,Heavy Traffic,108
41.71,-87.66,Jam,Moderate Traffic,1
41.71,-87.66,Jam,Stand Still Traffic,39
41.71,-87.66,Jam,Unclassified,45
41.71,-87.66,Road Closed,Unclassified,3
41.71,-87.65,Accident,Major,28
41.71,-87.65,Accident,Minor,4
41.71,-87.65,Accident,Unclassified,58
41.71,-87.65,Hazard,On Road,214
41.71,-87.65,Hazard,On Shoulder,151
41.71,-87.65,Hazard,Unclassified,2
41.71,-87.65,Hazard,Weather,9
41.71,-87.65,Jam,Heavy Traffic,213
41.71,-87.65,Jam,Moderate Traffic,4
41.71,-87.65,Jam,Stand Still Traffic,131
41.71,-87.65,Jam,Unclassified,65
41.71,-87.65,Road Closed,Unclassified,28
41.71,-87.64,Accident,Major,4
41.71,-87.64,Accident,Minor,1
41.71,-87.64,Accident,Unclassified,10
41.71,-87.64,Hazard,On Road,50
41.71,-87.64,Hazard,On Shoulder,103
41.71,-87.64,Hazard,Weather,3
41.71,-87.64,Jam,Heavy Traffic,82
